Stkcd,Year,Fn05601,Fn05602,var_5,var_6,Sum,test,Test
600826,2019.0,其他政府补贴,21427531.0,34185856.11,21427530.94,34185856.0,1,1
300349,2021.0,稳岗补贴,96281.0,68367037.19,0.0,68367037.0,1,1
600239,2011.0,企业扶持发展基金,57474.0,57474.0,0.0,57474.0,1,1
301168,2022.0,政府补助其中：国内发明专利授权奖励,15000.0,7880506.99,3939548.1,7880507.0,1,1
300331,2012.0,超薄LED导光导电复合功能材料（器件）关键技术,77395.0,15603383.83,0.0,15603385.0,0,1
300161,2022.0,工业互联网创新发展工程-工业互联网标识解析二级节点,50000.0,127990914.8,0.0,127990914.0,0,1
002282,2012.0,2011年度第二批中小企业国际市场开拓资金,64000.0,4465272.33,0.0,4465272.0,1,1
000836,2009.0,技术成果转化项目补助,2500000.0,3643400.0,0.0,3643400.0,1,1
601137,2021.0,与资产相关的政府补助,5720031.0,33656830.55,0.0,33656831.0,1,1
002718,2021.0,政府补助其中：以工代训补贴,36500.0,964092.64,913414.97,964093.0,1,1
300183,2019.0,中小企业扶持资金,702000.0,56422705.94,0.0,56422707.0,0,1
002237,2012.0,与收益相关的政府补贴其中：烟台市牟平区财政局以烟牟财企指[2011]27号《关于下达2011年度进口贴息资金预算指标的通知》拨入公司进口贴息补贴款,514300.0,12918800.0,0.0,10918300.0,0,0
603098,2022.0,直接计入当期损益的政府补助其中：稳岗补贴,468503.0,43698736.68,0.0,21959250.0,0,0
600256,2010.0,收到的与收益相关的政府补贴其中：财政局财政经营扶持资金（发展支持资金）,10815400.0,31166217.0,0.0,62332434.0,0,0
600312,2019.0,上海知识产权局资助,2500.0,60592363.51,0.0,60592363.0,0,1
002357,2021.0,燃油补贴,1373135.0,68760935.61,0.0,68760936.0,1,1
601233,2022.0,公司功能性聚酯纤维新材料智能制造新模式应用项目,810000.0,88313264.8,126529.0,88313265.0,1,1
002880,2021.0,特异性免疫球蛋白及凝血因子类产业化项目,209949.0,9686443.38,156115.82,9686444.0,0,1
600980,2022.0,安徽港航付21年合肥水运港政策外贸补贴款,10990.0,21858282.93,0.0,43665066.0,0,0
002617,2017.0,技术创新补助资金,69700.0,9717167.75,0.0,9717169.0,0,1
603683,2017.0,德国科隆五金展览会中小企业国际市场开拓资金,45000.0,1967580.96,0.0,1967581.0,1,1
002868,2017.0,就业困难社保补贴,3060.0,6213714.53,0.0,6213714.0,0,1
000680,2018.0,崇文产业园,220460.0,21690568.23,0.0,21690568.0,1,1
300464,2017.0,"经科局""双提升""扶持资金（基于工业机器人的金属滑轨冲压成型一体化技术改造）",175000.0,3435846.59,0.0,3435847.0,1,1
002502,2013.0,2012年汕头市现代服务业发展引导资金项目补助,1000000.0,1463600.0,0.0,1463600.0,1,1
300362,2016.0,高新技术企业补助,20000.0,8448836.73,0.0,8448837.0,1,1
301312,2022.0,企业研发投入补贴,347700.0,17889724.06,0.0,17889724.0,1,1
002702,2016.0,科技经费补助其中：子公司-浙江鱼极食品有限公司收到年生产冷冻鱼丸3000吨技术改造项目经费2,321400.0,6413807.4,0.0,6413807.0,1,1
302132,2021.0,省级工业转型升级项目补助资金,1500000.0,26208096.78,0.0,26208097.0,1,1
002035,2021.0,2019、2020年度工业企业技术改造事后奖补（惠普性）奖金,301270.0,65689210.22,0.0,65589210.0,0,1
002005,2022.0,政府补助其中：广东省工业企业技术改造事后奖补,1666078.0,40630599.65,19999465.73,40630598.0,0,1
002582,2010.0,中小企业国际市场开拓资金,10000.0,16442995.94,0.0,16442996.0,1,1
600251,2023.0,计入当期损益的政府补贴(与资产相关)其中：工程技术研究中心建设,45917.0,35832105.05,0.0,18897210.0,0,0
601188,2022.0,政府补助其中：减免退税,138571.0,2656942.49,395431.27,2656942.0,1,1
002439,2020.0,与资产相关的政府补贴：小微企业社保补贴,23261.0,204396437.9,0.0,204396438.0,1,1
002091,2012.0,省级外贸发展专项引导资金,4460950.0,29168244.65,0.0,29168245.0,1,1
002159,2021.0,政府补助其中：保康三特九路寨旅游开发有限公司景区地质灾害治理补助款,200020.0,8531014.64,8454612.27,8531014.0,0,1
002807,2021.0,江苏省普惠金融发展专项资金,4854000.0,29093000.0,0.0,29093000.0,1,1
603583,2018.0,高校毕业生社会保险补贴,15184.0,22139760.38,0.0,22139761.0,0,1
300793,2019.0,2015年东莞市信息化专项资金（分摊递延）,77636.0,2844870.57,0.0,2844871.0,1,1
688779,2022.0,产业扶持资金,269036.0,121770469.6,3350000.0,63218314.0,0,0
000960,2022.0,首席技师经费补贴,589119.0,166345726.7,0.0,166345727.0,1,1
600783,2013.0,淄博高新区财政局专利资助,24000.0,394000.0,0.0,394000.0,1,1
002126,2011.0,荆州市2011年度科技发展计划项目补助资金,202000.0,5896103.51,0.0,5896104.0,1,1
301041,2021.0,高新技术企业认定奖补,160000.0,16501407.64,0.0,16501407.0,0,1
600488,2018.0,政府补助其中：与资产相关的政府补助确认的其他收益（输液生产车间改造专项资金）,104178.0,11079486.71,9086985.5,10449362.0,0,0
002118,2015.0,其他资源勘探信息资金2,2782538.0,35071948.56,0.0,35071949.0,1,1
200771,2013.0,2007年第三批杭州市工业企业技术改造项目财政资助资金1,26000.0,16517582.75,0.0,16388802.0,0,1
300241,2020.0,LED照明器件封装生产线智能制造项目,184615.0,38983184.7,38253267.32,38983183.0,0,1
600989,2020.0,宁东基地2019年技术改造综合奖补资金（马莲台煤矿安全技术改造项目）1,12500.0,39655223.77,7745100.0,39655225.0,0,1
